Algorithms                , Algorithm_ID         , DPA_METHODS, FEE_METHODS, FES_METHODS, CLF_METHODS, END_METHODS       , END_TO_END_METHODS, DPA_METHODS_ID, FEE_METHODS_ID, FES_METHODS_ID, CLF_METHODS_ID, END_METHODS_ID, END_TO_END_METHODS_ID, accuracy          , train_time           , test_time
TLDUMMY-CSP-MLP           , "[0, 1, 0, 11, 0, 0]", TLDUMMY    , CSP        ,            , MLP        ,                   ,                   ,              0,              1,              0,             11,              0,                     0, 0.9166666666666667,   0.6154061794281006 , 0.15025811195373534
TLDUMMY-CSP-ANOVA-K-SVM   , "[0, 1, 1, 1, 0, 0]" , TLDUMMY    , CSP        , ANOVA-K    , SVM        ,                   ,                   ,              0,              1,              1,              1,              0,                     0, 0.9266666666666667,   0.233084774017334  , 0.20122416019439698
TLDUMMY-CSP-ANOVA-K-LDA   , "[0, 1, 1, 2, 0, 0]" , TLDUMMY    , CSP        , ANOVA-K    , LDA        ,                   ,                   ,              0,              1,              1,              2,              0,                     0, 0.8944444444444445,   0.24135117530822753, 0.21430680751800538
TLDUMMY-CSP-ANOVA-K-LR    , "[0, 1, 1, 3, 0, 0]" , TLDUMMY    , CSP        , ANOVA-K    , LR         ,                   ,                   ,              0,              1,              1,              3,              0,                     0, 0.9244444444444445,   0.24927868843078613, 0.20104060173034669
TLDUMMY-CSP-ANOVA-K-KNN   , "[0, 1, 1, 4, 0, 0]" , TLDUMMY    , CSP        , ANOVA-K    , KNN        ,                   ,                   ,              0,              1,              1,              4,              0,                     0, 0.891111111111111 ,   0.23899312019348146, 0.2010699987411499
TLDUMMY-CSP-ANOVA-K-DTC   , "[0, 1, 1, 5, 0, 0]" , TLDUMMY    , CSP        , ANOVA-K    , DTC        ,                   ,                   ,              0,              1,              1,              5,              0,                     0, 0.8477777777777777,   0.2374716281890869 , 0.20069048404693604
TLDUMMY-CSP-ANOVA-K-RFC   , "[0, 1, 1, 6, 0, 0]" , TLDUMMY    , CSP        , ANOVA-K    , RFC        ,                   ,                   ,              0,              1,              1,              6,              0,                     0, 0.8922222222222222,   0.4001720190048218 , 0.19972782135009765
TLDUMMY-CSP-ANOVA-K-ETC   , "[0, 1, 1, 7, 0, 0]" , TLDUMMY    , CSP        , ANOVA-K    , ETC        ,                   ,                   ,              0,              1,              1,              7,              0,                     0, 0.8966666666666667,   0.35604190826416016, 0.19905810356140136
TLDUMMY-CSP-ANOVA-K-ABC   , "[0, 1, 1, 8, 0, 0]" , TLDUMMY    , CSP        , ANOVA-K    , ABC        ,                   ,                   ,              0,              1,              1,              8,              0,                     0, 0.8866666666666667,   0.34148781299591063, 0.19270579814910888
TLDUMMY-CSP-ANOVA-K-GBC   , "[0, 1, 1, 9, 0, 0]" , TLDUMMY    , CSP        , ANOVA-K    , GBC        ,                   ,                   ,              0,              1,              1,              9,              0,                     0, 0.8988888888888888,   0.39630005359649656, 0.17272865772247314
TLDUMMY-CSP-ANOVA-K-GNB   , "[0, 1, 1, 10, 0, 0]", TLDUMMY    , CSP        , ANOVA-K    , GNB        ,                   ,                   ,              0,              1,              1,             10,              0,                     0, 0.6444444444444445,   0.2089177370071411 , 0.17427568435668944
TLDUMMY-CSP-ANOVA-K-MLP   , "[0, 1, 1, 11, 0, 0]", TLDUMMY    , CSP        , ANOVA-K    , MLP        ,                   ,                   ,              0,              1,              1,             11,              0,                     0, 0.9177777777777779,   0.5446243286132812 , 0.14986944198608398
TLDUMMY-CSP-ANOVA-P-SVM   , "[0, 1, 2, 1, 0, 0]" , TLDUMMY    , CSP        , ANOVA-P    , SVM        ,                   ,                   ,              0,              1,              2,              1,              0,                     0, 0.8922222222222222,   0.22024869918823242, 0.1825111150741577
TLDUMMY-CSP-ANOVA-P-LDA   , "[0, 1, 2, 2, 0, 0]" , TLDUMMY    , CSP        , ANOVA-P    , LDA        ,                   ,                   ,              0,              1,              2,              2,              0,                     0, 0.8511111111111112,   0.23585026264190673, 0.17669980525970458
TLDUMMY-CSP-ANOVA-P-LR    , "[0, 1, 2, 3, 0, 0]" , TLDUMMY    , CSP        , ANOVA-P    , LR         ,                   ,                   ,              0,              1,              2,              3,              0,                     0, 0.8766666666666667,   0.2264988660812378 , 0.16550655364990235
TLDUMMY-CSP-ANOVA-P-KNN   , "[0, 1, 2, 4, 0, 0]" , TLDUMMY    , CSP        , ANOVA-P    , KNN        ,                   ,                   ,              0,              1,              2,              4,              0,                     0, 0.8977777777777778,   0.2102733850479126 , 0.17417850494384765
TLDUMMY-CSP-ANOVA-P-DTC   , "[0, 1, 2, 5, 0, 0]" , TLDUMMY    , CSP        , ANOVA-P    , DTC        ,                   ,                   ,              0,              1,              2,              5,              0,                     0, 0.8077777777777777,   0.21751091480255128, 0.16937155723571778
TLDUMMY-CSP-ANOVA-P-RFC   , "[0, 1, 2, 6, 0, 0]" , TLDUMMY    , CSP        , ANOVA-P    , RFC        ,                   ,                   ,              0,              1,              2,              6,              0,                     0, 0.8711111111111112,   0.3635681390762329 , 0.17242648601531982
TLDUMMY-CSP-ANOVA-P-ETC   , "[0, 1, 2, 7, 0, 0]" , TLDUMMY    , CSP        , ANOVA-P    , ETC        ,                   ,                   ,              0,              1,              2,              7,              0,                     0, 0.8800000000000001,   0.3235962152481079 , 0.1826942205429077
TLDUMMY-CSP-ANOVA-P-ABC   , "[0, 1, 2, 8, 0, 0]" , TLDUMMY    , CSP        , ANOVA-P    , ABC        ,                   ,                   ,              0,              1,              2,              8,              0,                     0, 0.8366666666666666,   0.28434784412384034, 0.1759922981262207
TLDUMMY-CSP-ANOVA-P-GBC   , "[0, 1, 2, 9, 0, 0]" , TLDUMMY    , CSP        , ANOVA-P    , GBC        ,                   ,                   ,              0,              1,              2,              9,              0,                     0, 0.8600000000000001,   0.3230627775192261 , 0.17575299739837646
TLDUMMY-CSP-ANOVA-P-GNB   , "[0, 1, 2, 10, 0, 0]", TLDUMMY    , CSP        , ANOVA-P    , GNB        ,                   ,                   ,              0,              1,              2,             10,              0,                     0, 0.8222222222222222,   0.22031569480895996, 0.17882747650146485
TLDUMMY-CSP-ANOVA-P-MLP   , "[0, 1, 2, 11, 0, 0]", TLDUMMY    , CSP        , ANOVA-P    , MLP        ,                   ,                   ,              0,              1,              2,             11,              0,                     0, 0.89              ,   0.41696193218231203, 0.13992769718170167
TLDUMMY-CSP-MIC-K-SVM     , "[0, 1, 3, 1, 0, 0]" , TLDUMMY    , CSP        , MIC-K      , SVM        ,                   ,                   ,              0,              1,              3,              1,              0,                     0, 0.9266666666666667,   0.22350192070007324, 0.17306921482086182
TLDUMMY-CSP-MIC-K-LDA     , "[0, 1, 3, 2, 0, 0]" , TLDUMMY    , CSP        , MIC-K      , LDA        ,                   ,                   ,              0,              1,              3,              2,              0,                     0, 0.8944444444444445,   0.22126367092132568, 0.16846249103546143
TLDUMMY-CSP-MIC-K-LR      , "[0, 1, 3, 3, 0, 0]" , TLDUMMY    , CSP        , MIC-K      , LR         ,                   ,                   ,              0,              1,              3,              3,              0,                     0, 0.9244444444444445,   0.22171218395233155, 0.16862499713897705
TLDUMMY-CSP-MIC-K-KNN     , "[0, 1, 3, 4, 0, 0]" , TLDUMMY    , CSP        , MIC-K      , KNN        ,                   ,                   ,              0,              1,              3,              4,              0,                     0, 0.891111111111111 ,   0.21861691474914552, 0.2064052104949951
TLDUMMY-CSP-MIC-K-DTC     , "[0, 1, 3, 5, 0, 0]" , TLDUMMY    , CSP        , MIC-K      , DTC        ,                   ,                   ,              0,              1,              3,              5,              0,                     0, 0.8222222222222222,   0.21392204761505126, 0.1756443500518799
TLDUMMY-CSP-MIC-K-RFC     , "[0, 1, 3, 6, 0, 0]" , TLDUMMY    , CSP        , MIC-K      , RFC        ,                   ,                   ,              0,              1,              3,              6,              0,                     0, 0.8933333333333333,   0.35821754932403566, 0.17750003337860107
TLDUMMY-CSP-MIC-K-ETC     , "[0, 1, 3, 7, 0, 0]" , TLDUMMY    , CSP        , MIC-K      , ETC        ,                   ,                   ,              0,              1,              3,              7,              0,                     0, 0.9022222222222224,   0.29804248809814454, 0.200012469291687
TLDUMMY-CSP-MIC-K-ABC     , "[0, 1, 3, 8, 0, 0]" , TLDUMMY    , CSP        , MIC-K      , ABC        ,                   ,                   ,              0,              1,              3,              8,              0,                     0, 0.8866666666666667,   0.305467414855957  , 0.17668528556823732
TLDUMMY-CSP-MIC-K-GBC     , "[0, 1, 3, 9, 0, 0]" , TLDUMMY    , CSP        , MIC-K      , GBC        ,                   ,                   ,              0,              1,              3,              9,              0,                     0, 0.8977777777777778,   0.3912454605102539 , 0.1817025661468506
TLDUMMY-CSP-MIC-K-GNB     , "[0, 1, 3, 10, 0, 0]", TLDUMMY    , CSP        , MIC-K      , GNB        ,                   ,                   ,              0,              1,              3,             10,              0,                     0, 0.6444444444444445,   0.2233250379562378 , 0.19582996368408204
TLDUMMY-CSP-MIC-K-MLP     , "[0, 1, 3, 11, 0, 0]", TLDUMMY    , CSP        , MIC-K      , MLP        ,                   ,                   ,              0,              1,              3,             11,              0,                     0, 0.9144444444444446,   0.5883445978164673 , 0.15198705196380616
TLDUMMY-CSP-MIC-P-SVM     , "[0, 1, 4, 1, 0, 0]" , TLDUMMY    , CSP        , MIC-P      , SVM        ,                   ,                   ,              0,              1,              4,              1,              0,                     0, 0.9044444444444444,   0.2155167579650879 , 0.16357805728912353
TLDUMMY-CSP-MIC-P-LDA     , "[0, 1, 4, 2, 0, 0]" , TLDUMMY    , CSP        , MIC-P      , LDA        ,                   ,                   ,              0,              1,              4,              2,              0,                     0, 0.8522222222222222,   0.2177065372467041 , 0.17028274536132812
TLDUMMY-CSP-MIC-P-LR      , "[0, 1, 4, 3, 0, 0]" , TLDUMMY    , CSP        , MIC-P      , LR         ,                   ,                   ,              0,              1,              4,              3,              0,                     0, 0.8822222222222222,   0.22967894077301027, 0.19702694416046143
TLDUMMY-CSP-MIC-P-KNN     , "[0, 1, 4, 4, 0, 0]" , TLDUMMY    , CSP        , MIC-P      , KNN        ,                   ,                   ,              0,              1,              4,              4,              0,                     0, 0.8966666666666667,   0.2675398588180542 , 0.2205207347869873
TLDUMMY-CSP-MIC-P-DTC     , "[0, 1, 4, 5, 0, 0]" , TLDUMMY    , CSP        , MIC-P      , DTC        ,                   ,                   ,              0,              1,              4,              5,              0,                     0, 0.8011111111111111,   0.23723950386047363, 0.20273284912109374
TLDUMMY-CSP-MIC-P-RFC     , "[0, 1, 4, 6, 0, 0]" , TLDUMMY    , CSP        , MIC-P      , RFC        ,                   ,                   ,              0,              1,              4,              6,              0,                     0, 0.8633333333333335,   0.3804445505142212 , 0.20213699340820312
TLDUMMY-CSP-MIC-P-ETC     , "[0, 1, 4, 7, 0, 0]" , TLDUMMY    , CSP        , MIC-P      , ETC        ,                   ,                   ,              0,              1,              4,              7,              0,                     0, 0.8777777777777779,   0.3575423240661621 , 0.2107487916946411
TLDUMMY-CSP-MIC-P-ABC     , "[0, 1, 4, 8, 0, 0]" , TLDUMMY    , CSP        , MIC-P      , ABC        ,                   ,                   ,              0,              1,              4,              8,              0,                     0, 0.8522222222222222,   0.301591682434082  , 0.2006903648376465
TLDUMMY-CSP-MIC-P-GBC     , "[0, 1, 4, 9, 0, 0]" , TLDUMMY    , CSP        , MIC-P      , GBC        ,                   ,                   ,              0,              1,              4,              9,              0,                     0, 0.8644444444444446,   0.3581376552581787 , 0.18552839756011963
TLDUMMY-CSP-MIC-P-GNB     , "[0, 1, 4, 10, 0, 0]", TLDUMMY    , CSP        , MIC-P      , GNB        ,                   ,                   ,              0,              1,              4,             10,              0,                     0, 0.821111111111111 ,   0.23388612270355225, 0.22358384132385253
TLDUMMY-CSP-MIC-P-MLP     , "[0, 1, 4, 11, 0, 0]", TLDUMMY    , CSP        , MIC-P      , MLP        ,                   ,                   ,              0,              1,              4,             11,              0,                     0, 0.8855555555555557,   0.4652129888534546 , 0.1667539358139038
TLDUMMY-CSP-PCA-SVM       , "[0, 1, 5, 1, 0, 0]" , TLDUMMY    , CSP        , PCA        , SVM        ,                   ,                   ,              0,              1,              5,              1,              0,                     0, 0.8422222222222221,   0.2387378692626953 , 0.18693895339965821
TLDUMMY-CSP-PCA-LDA       , "[0, 1, 5, 2, 0, 0]" , TLDUMMY    , CSP        , PCA        , LDA        ,                   ,                   ,              0,              1,              5,              2,              0,                     0, 0.8377777777777776,   0.22020406723022462, 0.17333030700683594
TLDUMMY-CSP-PCA-LR        , "[0, 1, 5, 3, 0, 0]" , TLDUMMY    , CSP        , PCA        , LR         ,                   ,                   ,              0,              1,              5,              3,              0,                     0, 0.8133333333333332,   0.22589876651763915, 0.18758463859558105
TLDUMMY-CSP-PCA-KNN       , "[0, 1, 5, 4, 0, 0]" , TLDUMMY    , CSP        , PCA        , KNN        ,                   ,                   ,              0,              1,              5,              4,              0,                     0, 0.8744444444444444,   0.235695481300354  , 0.18243796825408937
TLDUMMY-CSP-PCA-DTC       , "[0, 1, 5, 5, 0, 0]" , TLDUMMY    , CSP        , PCA        , DTC        ,                   ,                   ,              0,              1,              5,              5,              0,                     0, 0.7955555555555556,   0.2312105655670166 , 0.2434145212173462
TLDUMMY-CSP-PCA-RFC       , "[0, 1, 5, 6, 0, 0]" , TLDUMMY    , CSP        , PCA        , RFC        ,                   ,                   ,              0,              1,              5,              6,              0,                     0, 0.8622222222222222,   0.3614003896713257 , 0.18680915832519532
TLDUMMY-CSP-PCA-ETC       , "[0, 1, 5, 7, 0, 0]" , TLDUMMY    , CSP        , PCA        , ETC        ,                   ,                   ,              0,              1,              5,              7,              0,                     0, 0.8822222222222221,   0.32703299522399903, 0.16860671043395997
TLDUMMY-CSP-PCA-ABC       , "[0, 1, 5, 8, 0, 0]" , TLDUMMY    , CSP        , PCA        , ABC        ,                   ,                   ,              0,              1,              5,              8,              0,                     0, 0.8155555555555555,   0.30471298694610593, 0.1763991117477417
TLDUMMY-CSP-PCA-GBC       , "[0, 1, 5, 9, 0, 0]" , TLDUMMY    , CSP        , PCA        , GBC        ,                   ,                   ,              0,              1,              5,              9,              0,                     0, 0.8555555555555555,   0.33231306076049805, 0.16605594158172607
TLDUMMY-CSP-PCA-GNB       , "[0, 1, 5, 10, 0, 0]", TLDUMMY    , CSP        , PCA        , GNB        ,                   ,                   ,              0,              1,              5,             10,              0,                     0, 0.7855555555555556,   0.2298755407333374 , 0.16581449508666993
TLDUMMY-CSP-PCA-MLP       , "[0, 1, 5, 11, 0, 0]", TLDUMMY    , CSP        , PCA        , MLP        ,                   ,                   ,              0,              1,              5,             11,              0,                     0, 0.8933333333333333,   0.6006357669830322 , 0.14150068759918213
TLDUMMY-CSP-LASSO-SVM     , "[0, 1, 6, 1, 0, 0]" , TLDUMMY    , CSP        , LASSO      , SVM        ,                   ,                   ,              0,              1,              6,              1,              0,                     0, 0.9322222222222223,   0.21607396602630616, 0.1695625066757202
TLDUMMY-CSP-LASSO-LDA     , "[0, 1, 6, 2, 0, 0]" , TLDUMMY    , CSP        , LASSO      , LDA        ,                   ,                   ,              0,              1,              6,              2,              0,                     0, 0.8711111111111111,   0.24975223541259767, 0.1829916715621948
TLDUMMY-CSP-LASSO-LR      , "[0, 1, 6, 3, 0, 0]" , TLDUMMY    , CSP        , LASSO      , LR         ,                   ,                   ,              0,              1,              6,              3,              0,                     0, 0.9277777777777778,   0.2301013469696045 , 0.16847338676452636
TLDUMMY-CSP-LASSO-KNN     , "[0, 1, 6, 4, 0, 0]" , TLDUMMY    , CSP        , LASSO      , KNN        ,                   ,                   ,              0,              1,              6,              4,              0,                     0, 0.9033333333333333,   0.22946836948394775, 0.19893052577972412
TLDUMMY-CSP-LASSO-DTC     , "[0, 1, 6, 5, 0, 0]" , TLDUMMY    , CSP        , LASSO      , DTC        ,                   ,                   ,              0,              1,              6,              5,              0,                     0, 0.8333333333333333,   0.21888115406036376, 0.1742027759552002
TLDUMMY-CSP-LASSO-RFC     , "[0, 1, 6, 6, 0, 0]" , TLDUMMY    , CSP        , LASSO      , RFC        ,                   ,                   ,              0,              1,              6,              6,              0,                     0, 0.8977777777777778,   0.3569040298461914 , 0.17327702045440674
TLDUMMY-CSP-LASSO-ETC     , "[0, 1, 6, 7, 0, 0]" , TLDUMMY    , CSP        , LASSO      , ETC        ,                   ,                   ,              0,              1,              6,              7,              0,                     0, 0.9111111111111111,   0.31939263343811036, 0.18976473808288574
TLDUMMY-CSP-LASSO-ABC     , "[0, 1, 6, 8, 0, 0]" , TLDUMMY    , CSP        , LASSO      , ABC        ,                   ,                   ,              0,              1,              6,              8,              0,                     0, 0.8922222222222222,   0.3121596336364746 , 0.1916377067565918
TLDUMMY-CSP-LASSO-GBC     , "[0, 1, 6, 9, 0, 0]" , TLDUMMY    , CSP        , LASSO      , GBC        ,                   ,                   ,              0,              1,              6,              9,              0,                     0, 0.8766666666666667,   0.33603692054748535, 0.16862714290618896
TLDUMMY-CSP-LASSO-GNB     , "[0, 1, 6, 10, 0, 0]", TLDUMMY    , CSP        , LASSO      , GNB        ,                   ,                   ,              0,              1,              6,             10,              0,                     0, 0.7555555555555555,   0.22168166637420655, 0.18484888076782227
TLDUMMY-CSP-LASSO-MLP     , "[0, 1, 6, 11, 0, 0]", TLDUMMY    , CSP        , LASSO      , MLP        ,                   ,                   ,              0,              1,              6,             11,              0,                     0, 0.9255555555555557,   0.495285964012146  , 0.15158610343933104
TLDUMMY-CSP-RFE-SVM       , "[0, 1, 7, 1, 0, 0]" , TLDUMMY    , CSP        , RFE        , SVM        ,                   ,                   ,              0,              1,              7,              1,              0,                     0, 0.9266666666666667,   0.2149115562438965 , 0.16320908069610596
TLDUMMY-CSP-RFE-LDA       , "[0, 1, 7, 2, 0, 0]" , TLDUMMY    , CSP        , RFE        , LDA        ,                   ,                   ,              0,              1,              7,              2,              0,                     0, 0.8944444444444445,   0.2268589496612549 , 0.1679511308670044
TLDUMMY-CSP-RFE-LR        , "[0, 1, 7, 3, 0, 0]" , TLDUMMY    , CSP        , RFE        , LR         ,                   ,                   ,              0,              1,              7,              3,              0,                     0, 0.9244444444444445,   0.23011448383331298, 0.17322111129760742
TLDUMMY-CSP-RFE-KNN       , "[0, 1, 7, 4, 0, 0]" , TLDUMMY    , CSP        , RFE        , KNN        ,                   ,                   ,              0,              1,              7,              4,              0,                     0, 0.891111111111111 ,   0.22363221645355225, 0.19256231784820557
TLDUMMY-CSP-RFE-DTC       , "[0, 1, 7, 5, 0, 0]" , TLDUMMY    , CSP        , RFE        , DTC        ,                   ,                   ,              0,              1,              7,              5,              0,                     0, 0.8400000000000001,   0.24527859687805176, 0.18624908924102784
TLDUMMY-CSP-RFE-RFC       , "[0, 1, 7, 6, 0, 0]" , TLDUMMY    , CSP        , RFE        , RFC        ,                   ,                   ,              0,              1,              7,              6,              0,                     0, 0.8955555555555555,   0.38299968242645266, 0.17578842639923095
TLDUMMY-CSP-RFE-ETC       , "[0, 1, 7, 7, 0, 0]" , TLDUMMY    , CSP        , RFE        , ETC        ,                   ,                   ,              0,              1,              7,              7,              0,                     0, 0.8944444444444445,   0.34914944171905515, 0.19842722415924072
TLDUMMY-CSP-RFE-ABC       , "[0, 1, 7, 8, 0, 0]" , TLDUMMY    , CSP        , RFE        , ABC        ,                   ,                   ,              0,              1,              7,              8,              0,                     0, 0.8866666666666667,   0.3218669414520264 , 0.19295945167541503
TLDUMMY-CSP-RFE-GBC       , "[0, 1, 7, 9, 0, 0]" , TLDUMMY    , CSP        , RFE        , GBC        ,                   ,                   ,              0,              1,              7,              9,              0,                     0, 0.8955555555555555,   0.3750964403152466 , 0.17262668609619142
TLDUMMY-CSP-RFE-GNB       , "[0, 1, 7, 10, 0, 0]", TLDUMMY    , CSP        , RFE        , GNB        ,                   ,                   ,              0,              1,              7,             10,              0,                     0, 0.6444444444444445,   0.21683766841888427, 0.1762782096862793
TLDUMMY-CSP-RFE-MLP       , "[0, 1, 7, 11, 0, 0]", TLDUMMY    , CSP        , RFE        , MLP        ,                   ,                   ,              0,              1,              7,             11,              0,                     0, 0.9144444444444446,   0.5617043018341065 , 0.13937537670135497
TLDUMMY-CSP-RFECV-SVM     , "[0, 1, 8, 1, 0, 0]" , TLDUMMY    , CSP        , RFECV      , SVM        ,                   ,                   ,              0,              1,              8,              1,              0,                     0, 0.9322222222222223,   0.2274862289428711 , 0.18982584476470948
TLDUMMY-CSP-RFECV-LDA     , "[0, 1, 8, 2, 0, 0]" , TLDUMMY    , CSP        , RFECV      , LDA        ,                   ,                   ,              0,              1,              8,              2,              0,                     0, 0.8855555555555557,   0.2512766599655151 , 0.18402068614959716
TLDUMMY-CSP-RFECV-LR      , "[0, 1, 8, 3, 0, 0]" , TLDUMMY    , CSP        , RFECV      , LR         ,                   ,                   ,              0,              1,              8,              3,              0,                     0, 0.9355555555555556,   0.22467548847198487, 0.18416247367858887
TLDUMMY-CSP-RFECV-KNN     , "[0, 1, 8, 4, 0, 0]" , TLDUMMY    , CSP        , RFECV      , KNN        ,                   ,                   ,              0,              1,              8,              4,              0,                     0, 0.9066666666666668,   0.23272910118103027, 0.18620131015777588
TLDUMMY-CSP-RFECV-DTC     , "[0, 1, 8, 5, 0, 0]" , TLDUMMY    , CSP        , RFECV      , DTC        ,                   ,                   ,              0,              1,              8,              5,              0,                     0, 0.8444444444444444,   0.2390974998474121 , 0.1831433057785034
TLDUMMY-CSP-RFECV-RFC     , "[0, 1, 8, 6, 0, 0]" , TLDUMMY    , CSP        , RFECV      , RFC        ,                   ,                   ,              0,              1,              8,              6,              0,                     0, 0.8911111111111112,   0.44113907814025877, 0.18439915180206298
TLDUMMY-CSP-RFECV-ETC     , "[0, 1, 8, 7, 0, 0]" , TLDUMMY    , CSP        , RFECV      , ETC        ,                   ,                   ,              0,              1,              8,              7,              0,                     0, 0.9055555555555556,   0.3234464168548584 , 0.18986797332763672
TLDUMMY-CSP-RFECV-ABC     , "[0, 1, 8, 8, 0, 0]" , TLDUMMY    , CSP        , RFECV      , ABC        ,                   ,                   ,              0,              1,              8,              8,              0,                     0, 0.89              ,   0.3198602914810181 , 0.2136003255844116
TLDUMMY-CSP-RFECV-GBC     , "[0, 1, 8, 9, 0, 0]" , TLDUMMY    , CSP        , RFECV      , GBC        ,                   ,                   ,              0,              1,              8,              9,              0,                     0, 0.8866666666666667,   0.36255147457122805, 0.18326311111450194
TLDUMMY-CSP-RFECV-GNB     , "[0, 1, 8, 10, 0, 0]", TLDUMMY    , CSP        , RFECV      , GNB        ,                   ,                   ,              0,              1,              8,             10,              0,                     0, 0.7688888888888888,   0.22041037082672119, 0.1920685052871704
TLDUMMY-CSP-RFECV-MLP     , "[0, 1, 8, 11, 0, 0]", TLDUMMY    , CSP        , RFECV      , MLP        ,                   ,                   ,              0,              1,              8,             11,              0,                     0, 0.9333333333333333,   0.5184617757797241 , 0.16811802387237548
TLDUMMY-TRCSP-SVM         , "[0, 2, 0, 1, 0, 0]" , TLDUMMY    , TRCSP      ,            , SVM        ,                   ,                   ,              0,              2,              0,              1,              0,                     0, 0.9066666666666668,   0.22137205600738524, 0.18893423080444335
TLDUMMY-TRCSP-LDA         , "[0, 2, 0, 2, 0, 0]" , TLDUMMY    , TRCSP      ,            , LDA        ,                   ,                   ,              0,              2,              0,              2,              0,                     0, 0.9088888888888891,   0.2236260414123535 , 0.1775064468383789
TLDUMMY-TRCSP-LR          , "[0, 2, 0, 3, 0, 0]" , TLDUMMY    , TRCSP      ,            , LR         ,                   ,                   ,              0,              2,              0,              3,              0,                     0, 0.9099999999999999,   0.21583027839660646, 0.16913447380065919
TLDUMMY-TRCSP-KNN         , "[0, 2, 0, 4, 0, 0]" , TLDUMMY    , TRCSP      ,            , KNN        ,                   ,                   ,              0,              2,              0,              4,              0,                     0, 0.8877777777777778,   0.22093667984008789, 0.16843738555908203
TLDUMMY-TRCSP-DTC         , "[0, 2, 0, 5, 0, 0]" , TLDUMMY    , TRCSP      ,            , DTC        ,                   ,                   ,              0,              2,              0,              5,              0,                     0, 0.8111111111111111,   0.2112663745880127 , 0.16512558460235596
TLDUMMY-TRCSP-RFC         , "[0, 2, 0, 6, 0, 0]" , TLDUMMY    , TRCSP      ,            , RFC        ,                   ,                   ,              0,              2,              0,              6,              0,                     0, 0.9400000000000001,   0.3441671133041382 , 0.1706566572189331
TLDUMMY-TRCSP-ETC         , "[0, 2, 0, 7, 0, 0]" , TLDUMMY    , TRCSP      ,            , ETC        ,                   ,                   ,              0,              2,              0,              7,              0,                     0, 0.9211111111111112,   0.3368648290634155 , 0.1741197109222412
TLDUMMY-TRCSP-ABC         , "[0, 2, 0, 8, 0, 0]" , TLDUMMY    , TRCSP      ,            , ABC        ,                   ,                   ,              0,              2,              0,              8,              0,                     0, 0.9088888888888891,   0.3064274787902832 , 0.16794173717498778
TLDUMMY-TRCSP-GBC         , "[0, 2, 0, 9, 0, 0]" , TLDUMMY    , TRCSP      ,            , GBC        ,                   ,                   ,              0,              2,              0,              9,              0,                     0, 0.9066666666666668,   0.34164021015167234, 0.17477951049804688
